city,district,voivodeship,localization_y,localization_x,area,sewers,shape,road,fence,water,electricity,gas,price
Siewierz,bêdziñski,œl¹skie,50.472433,19.233789,18,szambo,prostok¹t,asfaltowa,¿ywop³ot,wodoci¹g na dzia³ce,na dzia³ce,brak,229000
Stanis³awów Nowy,pabianicki,³ódzkie,51.80133,19.189772,1200,NaN,prostok¹t,utwardzana,NaN,NaN,NaN,NaN,84000
Julianowo,szczycieñski,warmiñsko-mazurskie,53.7235,20.8674,1262,NaN,NaN,utwardzana,NaN,w³asne ujêcie/studnia,NaN,brak,88340
Be³dów-Krzywa Wieœ,zgierski,³ódzkie,51.835925,19.19301,1004,NaN,prostok¹t,utwardzana,NaN,wodoci¹g w drodze,w drodze,NaN,90360
Nadarzyn,pruszkowski,mazowieckie,52.093404,20.807995,950,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,295000
Konstancin-Jeziorna,piaseczyñski,mazowieckie,52.0938717,21.117722,1100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,490000
Rusiec,pruszkowski,mazowieckie,52.081861,20.793567,1160,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,255200
Leoncin,nowodworski,mazowieckie,52.393966,20.539669,1070,NaN,prostok¹t,asfaltowa,NaN,NaN,na dzia³ce,NaN,62000
Siewierz,bêdziñski,œl¹skie,50.472433,19.233789,18,szambo,prostok¹t,asfaltowa,¿ywop³ot,wodoci¹g na dzia³ce,na dzia³ce,brak,229000
Stanis³awów Nowy,pabianicki,³ódzkie,51.80133,19.189772,1200,NaN,prostok¹t,utwardzana,NaN,NaN,NaN,NaN,84000
Julianowo,szczycieñski,warmiñsko-mazurskie,53.7235,20.8674,1262,NaN,NaN,utwardzana,NaN,w³asne ujêcie/studnia,NaN,brak,88340
Be³dów-Krzywa Wieœ,zgierski,³ódzkie,51.835925,19.19301,1004,NaN,prostok¹t,utwardzana,NaN,wodoci¹g w drodze,w drodze,NaN,90360
Nadarzyn,pruszkowski,mazowieckie,52.093404,20.807995,950,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,295000
Konstancin-Jeziorna,piaseczyñski,mazowieckie,52.0938717,21.117722,1100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,490000
Rusiec,pruszkowski,mazowieckie,52.081861,20.793567,1160,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,255200
Leoncin,nowodworski,mazowieckie,52.393966,20.539669,1070,NaN,prostok¹t,asfaltowa,NaN,NaN,na dzia³ce,NaN,62000
