city,district,voivodeship,localization_y,localization_x,area,sewers,shape,road,fence,water,electricity,gas,price
Be³dów-Krzywa Wieœ,zgierski,³ódzkie,51.835925,19.19301,1004,,prostok¹t,utwardzana,,wodoci¹g w drodze,w drodze,,90360
Siewierz,bêdziñski,œl¹skie,50.472433,19.233789,18,szambo,prostok¹t,asfaltowa,¿ywop³ot,wodoci¹g na dzia³ce,na dzia³ce,brak,229000
Stanis³awów Nowy,pabianicki,³ódzkie,51.80133,19.189772,1200,,prostok¹t,utwardzana,,,,,84000
Julianowo,szczycieñski,warmiñsko-mazurskie,53.7235,20.8674,1262,,,utwardzana,,w³asne ujêcie/studnia,,brak,88340
Nadarzyn,pruszkowski,mazowieckie,52.093404,20.807995,950,,,utwardzana,brak,,,,295000
Konstancin-Jeziorna,piaseczyñski,mazowieckie,52.0938717,21.117722,1100,,,,,,,,490000
Rusiec,pruszkowski,mazowieckie,52.081861,20.793567,1160,,,utwardzana,brak,,,,255200
Leoncin,nowodworski,mazowieckie,52.393966,20.539669,1070,,prostok¹t,asfaltowa,,,na dzia³ce,,62000
Kowalskie,poznañski,wielkopolskie,,,2600,miejska,kwadrat,asfaltowa,siatka,wodoci¹g na dzia³ce,na dzia³ce,w drodze,286000
B¹ki,poddêbicki,³ódzkie,51.766153,18.976486,30070,szambo,prostok¹t,asfaltowa,inne,wodoci¹g na dzia³ce,na dzia³ce,brak,695000
¯ywiec,Moszczanica,œl¹skie,49.7053401564338,19.233679973869,2500,miejska,,asfaltowa,,wodoci¹g na dzia³ce,na dzia³ce,w drodze,180000
Pi³a,pilski,wielkopolskie,53.149289700059,16.763456905027,150000,miejska,prostok¹t,asfaltowa,,wodoci¹g w drodze,na dzia³ce,w drodze,33750000
Ga³kówek-Kolonia,brzeziñski,³ódzkie,51.764697,19.712329,16462,brak,prostok¹t,asfaltowa,mieszane,wodoci¹g w drodze,w drodze,brak,159000
Bia³cz,miêdzychodzki,wielkopolskie,52.625842,16.192771,,,,,,,,,85000
£ódŸ,³ódzkie,,51.775375,19.456386,761,,kwadrat,,,wodoci¹g w drodze,na dzia³ce,w drodze,250000
Pszczyna,Podstarzyniec,œl¹skie,49.984503124002,18.965277306856,3312,miejska,kwadrat,utwardzana,siatka,wodoci¹g w drodze,w drodze,w drodze,330000
Stawiszcze,sieradzki,³ódzkie,51.604241,18.838237,30000,,kwadrat,asfaltowa,mieszane,w³asne ujêcie/studnia,na dzia³ce,,900000
Busko-Zdrój,buski,œwiêtokrzyskie,50.47086,20.720014,13700,miejska,,asfaltowa,,wodoci¹g w drodze,w drodze,w drodze,4795000
Zdonia,tarnowski,ma³opolskie,49.837137,20.789176,1000,,prostok¹t,asfaltowa,brak,,,,49000
Gniezno,Piekary,wielkopolskie,52.547505201307,17.572236834789,19210,szambo,prostok¹t,asfaltowa,,wodoci¹g w drodze,na dzia³ce,brak,1632850
Sobolewo,bia³ostocki,podlaskie,53.111726,23.280212,1000,,,,,,,,135000
Gaj,krakowski,ma³opolskie,49.958790894655,19.88248515876,2500,inne,prostok¹t,asfaltowa,mieszane,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,999000
Kwidzyn,kwidzyñski,pomorskie,53.7330509797264,18.923617532868,740,,,,,,,,329000
Warszawa,mazowieckie,,52.24206247131,21.199331305545,1050,,,,,,,,1150000
Kolonia Olszowa,tomaszowski,³ódzkie,51.586088,19.854247,4400,szambo,trapez,asfaltowa,brak,wodoci¹g na dzia³ce,na dzia³ce,brak,170000
Znamirowice,nowos¹decki,ma³opolskie,49.730845,20.668441,2634,,prostok¹t,asfaltowa,,wodoci¹g na dzia³ce,w drodze,,270000
Jordanów Œl¹ski,wroc³awski,dolnoœl¹skie,50.861522631475,16.875680421127,751,miejska,trapez,asfaltowa,brak,wodoci¹g w drodze,w drodze,brak,74900
Mogilany,krakowski,ma³opolskie,49.9454998352067,19.8988354698613,702,,prostok¹t,asfaltowa,mieszane,wodoci¹g w drodze,w drodze,w drodze,179000
£ódŸ,³ódzkie,,51.775375,19.456386,2094,brak,prostok¹t,asfaltowa,brak,wodoci¹g w drodze,w drodze,w drodze,230000
Zdziechów,pabianicki,³ódzkie,51.782091,19.190127,1200,,kwadrat,,brak,wodoci¹g w drodze,w drodze,,84000
Pruszowice,wroc³awski,dolnoœl¹skie,51.188312,17.137526,1609,brak,prostok¹t,utwardzana,siatka,wodoci¹g w drodze,w drodze,w drodze,332000
Rokitnica,œwiebodziñski,lubuskie,,,214822,miejska,trapez,asfaltowa,siatka,wodoci¹g w drodze,w drodze,brak,550000
Gutowo Ma³e,wrzesiñski,wielkopolskie,52.339993,17.612518,911,brak,prostok¹t,utwardzana,brak,wodoci¹g w drodze,w drodze,brak,149000
¯arki-Letnisko,myszkowski,œl¹skie,50.627166334347,19.277232357148,1592,,prostok¹t,utwardzana,,,,,170000
Olsztyn,warmiñsko-mazurskie,,53.7549993246333,20.4725752068544,,,,,,,,,3764000
Gdynia,Wiczlino,pomorskie,54.4808781977701,18.4265495001385,1020,,prostok¹t,,,,,,489000
Warszawa,Bielany,mazowieckie,52.295823969161,20.881711680383,701,brak,prostok¹t,asfaltowa,siatka,wodoci¹g w drodze,na dzia³ce,brak,1368600
Grzebienisko,szamotulski,wielkopolskie,52.434025047638,16.550649903685,936,inne,kwadrat,asfaltowa,brak,wodoci¹g w drodze,w drodze,w drodze,79500
Poddêbice,poddêbicki,³ódzkie,51.894206,18.956674,1000,brak,prostok¹t,asfaltowa,brak,wodoci¹g w drodze,w drodze,,75000
Ciechocinek,aleksandrowski,kujawsko-pomorskie,52.880058,18.793141,865,,,,,,,,47575
Stargard,stargardzki,zachodniopomorskie,53.335571,15.045049,,,,,,,,,89000
Œnice,kartuski,pomorskie,54.181109,17.917664,2640,,,,,,,,132000
Radziejowice,¿yrardowski,mazowieckie,52.005438,20.553363,1250,,,utwardzana,brak,wodoci¹g w drodze,w drodze,,159000
Chwaszczyno,kartuski,pomorskie,54.4381565557642,18.3965897961137,886,,,,,,,,269000
Kozio³ki,brzeziñski,³ódzkie,51.870544,19.812552,23245,miejska,prostok¹t,asfaltowa,brak,wodoci¹g w drodze,na dzia³ce,w drodze,743840
Poznañ,Szczepankowo,wielkopolskie,52.3679858993045,16.9974231836399,1600,miejska,prostok¹t,asfaltowa,metalowe,wodoci¹g w drodze,w drodze,w drodze,599000
Katowice,Zarzecze,œl¹skie,50.1903316979074,18.9436863988859,6500,,,,,,,,2275000
Stary Giera³tów,k³odzki,dolnoœl¹skie,50.308869,16.91898,5749,,inny,utwardzana,brak,brak,na dzia³ce,brak,340000
Grêbocin,toruñski,kujawsko-pomorskie,53.049290908785,18.722599518803,1794,miejska,prostok¹t,utwardzana,brak,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,232000
Warszawa,Bia³o³êka,mazowieckie,52.363500925341,21.0658246959463,750,brak,prostok¹t,kostka brukowa,brak,wodoci¹g w drodze,na dzia³ce,w drodze,319000
Wieliczki,olecki,warmiñsko-mazurskie,,,1127,,kwadrat,utwardzana,brak,wodoci¹g w drodze,na dzia³ce,brak,100000
Kraków,Tyniec,ma³opolskie,50.0315367796606,19.8331290586751,2900,brak,trapez,asfaltowa,brak,wodoci¹g w drodze,na dzia³ce,na dzia³ce,1218000
Bielsko-Bia³a,œl¹skie,,49.8138652798973,19.092616259364,5410,,prostok¹t,utwardzana,,,,,599340
Nowy S¹cz,ma³opolskie,,,,,miejska,,asfaltowa,metalowe,wodoci¹g na dzia³ce,na dzia³ce,w drodze,360000
Urzut,pruszkowski,mazowieckie,52.073848,20.741939,97000,,,,,,,,28600000
Goœcicino,wejherowski,pomorskie,54.595206511738,18.180984742622,1244,,prostok¹t,asfaltowa,brak,wodoci¹g w drodze,w drodze,w drodze,170000
Pniów,gliwicki,œl¹skie,50.420258279595,18.630983042358,,,,,,,,,150
Trzebiatów,gryficki,zachodniopomorskie,54.0495762918714,15.2783157063634,1425,miejska,prostok¹t,kostka brukowa,,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,118000
Skar¿ysko-Kamienna,skar¿yski,œwiêtokrzyskie,51.117890087685,20.8717090539312,2235,miejska,prostok¹t,asfaltowa,siatka,wodoci¹g w drodze,na dzia³ce,w drodze,930000
Podkowa Leœna,grodziski,mazowieckie,52.1194779406552,20.740523725222,2590,szambo,trapez,utwardzana,metalowe,w³asne ujêcie/studnia,na dzia³ce,,1450000
£ódŸ,Œródmieœcie,³ódzkie,51.7677351394755,19.4577927202883,,,,,,,,,4000000
Wo³ownia,suwalski,podlaskie,54.202081,22.944269,98920,brak,inny,asfaltowa,brak,wodoci¹g w drodze,w drodze,brak,920000
W¹sowo,nowotomyski,wielkopolskie,52.3483798289346,16.2462795859037,805,,prostok¹t,utwardzana,brak,,,,20125
